col1
"1977 National League Player Review
← 1976 | 1977 Hitting Statistics League Leaders | 1978 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Gene Tenace,San Diego,125,Top 25
Batting Average,Dave Parker,Pittsburgh,.338,Top 25
Doubles,Dave Parker,Pittsburgh,44,Top 25
Hits,Dave Parker,Pittsburgh,215,Top 25
Home Runs,George Foster,Cincinnati,52,Top 25
On Base Percentage,Reggie Smith,Los Angeles,.432,Top 25
RBI,George Foster,Cincinnati,149,Top 25
Runs,George Foster,Cincinnati,124,Top 25
Slugging Average,George Foster,Cincinnati,.631,Top 25
Stolen Bases,Frank Taveras,Pittsburgh,70,Top 25
Total Bases,George Foster,Cincinnati,388,Top 25
Triples,GarryTempleton,St. Louis,18,Top 25
Statistic,Name(s),Team(s),#,Top 25
1977 N.L. History | 1977 A.L. History | Year-by-Year History
