col1
"1990 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name,Team,#,Top 25
Base on Balls,Jack Clark,San Diego,104,Top 25
Batting Average,Willie McGee,St. Louis,.335,Top 25
Doubles,Gregg Jefferies,New York,40,Top 25
Hits,Brett Butler,San Francisco,192,Top 25
Lenny Dykstra,Philadelphia
Home Runs,Ryne Sandberg,Chicago,40,Top 25
On Base Percentage,Dave Magadan,New York,.425,Top 25
RBI,Matt Williams,San Francisco,122,Top 25
Runs,Ryne Sandberg,Chicago,116,Top 25
Slugging Average,Barry Bonds,Pittsburgh,.565,Top 25
Stolen Bases,Vince Coleman,St. Louis,77,Top 25
Total Bases,Ryne Sandberg,Chicago,344,Top 25
Triples,Mariano Duncan,Cincinnati,11,Top 25
Statistic,Name,Team,#,Top 25
