col1
"1978 National League Player Review
← 1977 | 1978 Hitting Statistics League Leaders | 1979 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Jeff Burroughs,Atlanta,117,Top 25
Batting Average,Dave Parker,Pittsburgh,.334,Top 25
Doubles,Pete Rose,Cincinnati,51,Top 25
Hits,Steve Garvey,Los Angeles,202,Top 25
Home Runs,George Foster,Cincinnati,40,Top 25
On Base Percentage,Jeff Burroughs,Atlanta,.432,Top 25
RBI,George Foster,Cincinnati,120,Top 25
Runs,Ivan DeJesus,Chicago,104,Top 25
Slugging Average,Dave Parker,Pittsburgh,.585,Top 25
Stolen Bases,Omar Moreno,Pittsburgh,71,Top 25
Total Bases,Dave Parker,Pittsburgh,340,Top 25
Triples,Garry Templeton,St. Louis,13,Top 25
Statistic,Name(s),Team(s),#,Top 25
1978 N.L. History | 1978 A.L. History | Year-by-Year History
