col1
"1953 National League Player Review
← 1952 | 1953 National League Hitting Statistics Leaders | 1954 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Stan Musial,St. Louis,105,Top 25
Batting Average,Carl Furillo,Brooklyn,.344,Top 25
Doubles,Stan Musial,St. Louis,53,Top 25
Hits,Richie Ashburn,Philadelphia,205,Top 25
Home Runs,Eddie Mathews,Milwaukee,47,Top 25
On Base Percentage,Stan Musial,St. Louis,.437,Top 25
RBI,Roy Campanella,Brooklyn,142,Top 25
Runs,Duke Snider,Brooklyn,132,Top 25
Slugging Average,Duke Snider,Brooklyn,.627,Top 25
Stolen Bases,Bill Bruton,Milwaukee,26,Top 25
Total Bases,Duke Snider,Brooklyn,370,Top 25
Triples,Jim Gilliam,Brooklyn,17,Top 25
Statistic,Name(s),Team(s),#,Top 25
1953 N.L. History | 1953 A.L. History | Year-by-Year History
