col1
"1946 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Eddie Stanky,Brooklyn,137,Top 25
Batting Average,Stan Musial,St. Louis,.365,Top 25
Doubles,Stan Musial,St. Louis,50,Top 25
Hits,Stan Musial,St. Louis,228,Top 25
Home Runs,Ralph Kiner,Pittsburgh,23,Top 25
On Base Percentage,Eddie Stanky,Brooklyn,.436,Top 25
RBI,Enos Slaughter,St. Louis,130,Top 25
Runs,Stan Musial,St. Louis,124,Top 25
Slugging Average,Stan Musial,St. Louis,.587,Top 25
Stolen Bases,Pete Reiser,Brooklyn,34,Top 25
Total Bases,Stan Musial,St. Louis,366,Top 25
Triples,Stan Musial,St. Louis,20,Top 25
Statistic,Name(s),Team(s),#,Top 25
