col1
"1912 National League Player Review
← 1911 | 1912 Hitting Statistics League Leaders | 1913 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Jimmy Sheckard,Chicago,122,Top 25
Batting Average,Heinie Zimmerman,Chicago,.372,Top 25
Doubles,Heinie Zimmerman,Chicago,41,Top 25
Hits,Heinie Zimmerman,Chicago,207,Top 25
Home Runs,Heinie Zimmerman,Chicago,14,Top 25
On Base Percentage,Johnny Evers,Chicago,.431,Top 25
RBI,Honus Wagner,Pittsburgh,102,Top 25
Runs,Bob Bescher,Cincinnati,120,Top 25
Slugging Average,Heinie Zimmerman,Chicago,.571,Top 25
Stolen Bases,Bob Bescher,Cincinnati,67,Top 25
Total Bases,Heinie Zimmerman,Chicago,318,Top 25
Triples,Chief Wilson,Pittsburgh,36,Top 25
Statistic,Name(s),Team(s),#,Top 25
1912 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year
