col1
"2002 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name,Team,#,Top 25
Base on Balls,Barry Bonds,San Francisco,198,Top 25
Batting Average,Barry Bonds,San Francisco,.370,Top 25
Doubles,Bobby Abreu,Philadelphia,50,Top 25
Hits,Vladimir Guerrero,Montreal,206,Top 25
Home Runs,Sammy Sosa,Chicago,49,Top 25
On Base Percentage,Barry Bonds,San Francisco,.582,Top 25
RBI,Lance Berkman,Houston,128,Top 25
Runs,Sammy Sosa,Chicago,122,Top 25
Slugging Average,Barry Bonds,San Francisco,.799,Top 25
Stolen Bases,Luis Castillo,Florida,48,Top 25
Total Bases,Vladimir Guerrero,Montreal,364,Top 25
Triples,Jimmy Rollins,Philadelphia,10,Top 25
Statistic,Name,Team,#,Top 25
