col1
"1925 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Jack Fournier,Brooklyn,86,Top 25
Batting Average,Rogers Hornsby,St. Louis,.403,Top 25
Doubles,Jim Bottomley,St. Louis,44,Top 25
Hits,Jim Bottomley,St. Louis,227,Top 25
Home Runs,Rogers Hornsby,St. Louis,39,Top 25
On Base Percentage,Rogers Hornsby,St. Louis,.489,Top 25
RBI,Rogers Hornsby,St. Louis,143,Top 25
Runs,Kiki Cuyler,Pittsburgh,144,Top 25
Slugging Average,Rogers Hornsby,St. Louis,.756,Top 25
Stolen Bases,Max Carey,Pittsburgh,46,Top 25
Total Bases,Rogers Hornsby,St. Louis,381,Top 25
Triples,Kiki Cuyler,Pittsburgh,26,Top 25
Statistic,Name(s),Team(s),#,Top 25
