col1
"1900 National League Player Review
← 1899 | 1900 Hitting Statistics League Leaders | 1901 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Roy Thomas,Philadelphia,115,Top 25
Batting Average,Honus Wagner,Pittsburgh,.381,Top 25
Doubles,Honus Wagner,Pittsburgh,45,Top 25
Hits,Willie Keeler,Brooklyn,204,Top 25
Home Runs,Herman Long,Boston,12,Top 25
On Base Percentage,John McGraw,St. Louis,.505,Top 25
RBI,Elmer Flick,Philadelphia,110,Top 25
Runs,Roy Thomas,Philadelphia,132,Top 25
Slugging Average,Honus Wagner,Pittsburgh,.573,Top 25
Stolen Bases,Patsy Donovan,St. Louis,45,Top 25
George Van Haltren,New York
Total Bases,Honus Wagner,Pittsburgh,302,Top 25
Triples,Honus Wagner,Pittsburgh,22,Top 25
Statistic,Name(s),Team(s),#,Top 25
1900 N.L. History | Year-by-Year History
