col1
"2018 National League Player Review
← 2017 | 2018 Hitting Statistics League Leaders | 2019 →"
Statistic,Name,Team,#,Top 25
Base on Balls,Bryce Harper,Washington Nationals,130,Top 25
Batting Average,Christian Yelich,Milwaukee Brewers,.326,Top 25
Doubles,Freddie Freeman,Atlanta Braves,44,Top 25
Anthony Rendon,Washington Nationals,44
Hits,Freddie Freeman,Atlanta Braves,191,Top 25
Home Runs,Nolan Arenado,Colorado Rockies,38,Top 25
On Base Percentage,Joey Votto,Cincinnati Reds,.417,Top 25
RBI,Javier Baez,Chicago Cubs,111,Top 25
Runs,Charlie Blackmon,Colorado Rockies,119,Top 25
Slugging Average,Christian Yelich,Milwaukee Brewers,.598,Top 25
Stolen Bases,Trea Turner,Washington Nationals,43,Top 25
Total Bases,Christian Yelich,Milwaukee Brewers,343,Top 25
Triples,Ketel Marte,Arizona Diamondbacks,12,Top 25
Statistic,Name,Team,#,Top 25
2018 N.L. History | 2018 A.L. History | Year-by-Year History
