col1
"2005 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name,Team,#,Top 25
Base on Balls,Brian Giles,San Diego,119,Top 25
Batting Average,Derrek Lee,Chicago,.335,Top 25
Doubles,Derrek Lee,Chicago,50,Top 25
Hits,Derrek Lee,Chicago,199,Top 25
Home Runs,Andruw Jones,Atlanta,51,Top 25
On Base Percentage,Todd Helton,Colorado,.445,Top 25
RBI,Andruw Jones,Atlanta,128,Top 25
Runs,Albert Pujols,St. Louis,129,Top 25
Slugging Average,Derrek Lee,Chicago,.662,Top 25
Stolen Bases,Jose Reyes,New York,60,Top 25
Total Bases,Derrek Lee,Chicago,393,Top 25
Triples,Jose Reyes,New York,17,Top 25
Statistic,Name,Team,#,Top 25
