col1
"1923 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,George Burns,Cincinnati,101,Top 25
Batting Average,Rogers Hornsby,St. Louis,.384,Top 25
Doubles,Edd Roush,Cincinnati,41,Top 25
Hits,Frankie Frisch,New York,223,Top 25
Home Runs,Cy Williams,Philadelphia,41,Top 25
On Base Percentage,Rogers Hornsby,St. Louis,.459,Top 25
RBI,Irish Meusel,New York,125,Top 25
Runs,Ross Youngs,New York,121,Top 25
Slugging Average,Rogers Hornsby,St. Louis,.627,Top 25
Stolen Bases,Max Carey,Pittsburgh,51,Top 25
Total Bases,Frankie Frisch,New York,311,Top 25
Triples,Max Carey,Pittsburgh,19,Top 25
Pie Traynor,Pittsburgh
Statistic,Name(s),Team(s),#,Top 25
